"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043588","skin development","47/1618","251/14562",0.187250996015936,1.68525896414343,3.87174907036781,0.000223845314635678,0.0121257006938147,0.0113972609146608,"FOXC1/EZH2/CDKN2A/PKP1/GAL/BCL11B/STMN1/SMO/EGFR/TFAP2C/SOSTDC1/SLITRK5/NOTCH1/KRT16/LGR4/SPINK5/FOXQ1/CLIC4/SNAI1/CDH3/CYP26B1/CSTA/GRHL1/RYR1/ITGA6/DKK1/KRT6A/FERMT1/SOX9/GATA6/LGR5/CD109/AHDC1/KRT81/GORAB/GNAS/WNT10A/IL18/MACROH2A2/KLK5/ROCK2/YAP1/ZNF750/DSP/LHX2/ZBED2/EXT1",47
"GO:0042633","hair cycle","24/1618","102/14562",0.235294117647059,2.11764705882353,4.00471142167642,0.000267620180167329,0.0138066525330135,0.0129772311926754,"GAL/SMO/EGFR/TFAP2C/SOSTDC1/NOTCH1/KRT16/LGR4/SPINK5/FOXQ1/SNAI1/CDH3/TERT/DKK1/FERMT1/SOX9/LGR5/CD109/GORAB/GNAS/WNT10A/TRPV3/LHX2/EXT1",24
"GO:0030261","chromosome condensation","12/1618","37/14562",0.324324324324324,2.91891891891892,4.13190210630029,0.000441115478594201,0.0204232696371349,0.0191963614031502,"PLK1/NCAPG2/H1-3/NCAPD2/NCAPH/NCAPG/H1-4/SMC5/CDK1/SMC2/BAZ1B/TENT4A",12
"GO:0032534","regulation of microvillus assembly","6/1618","11/14562",0.545454545454545,4.90909090909091,4.58539021716659,0.000524826877868836,0.0223857259639015,0.021040925058032,"FSCN1/KLF5/PLD1/PODXL/RAPGEF2/STK26",6
"GO:1905208","negative regulation of cardiocyte differentiation","6/1618","11/14562",0.545454545454545,4.90909090909091,4.58539021716659,0.000524826877868836,0.0223857259639015,0.021040925058032,"EGFR/HEY2/FZD7/DKK1/PRICKLE1/SOX6",6
"GO:0006997","nucleus organization","30/1618","145/14562",0.206896551724138,1.86206896551724,3.68840982413563,0.000545172331652577,0.0230718634418907,0.0216858434885158,"CDKN2A/PSME4/UBXN2A/PLK1/SERBP1/RNF8/LPIN1/HMGB2/SEH1L/PYGO1/CHEK1/CHD5/NUP93/NDC1/CDC25A/TMEM170A/LMNB1/CDK1/EMG1/NUP205/RPS19/NEMP1/CHMP4C/DDX11/NUP153/PITPNB/PAFAH1B1/PML/REEP3/NUP35",30
"GO:0002009","morphogenesis of an epithelium","74/1618","464/14562",0.15948275862069,1.43534482758621,3.36949047859008,0.000834466376758597,0.0337336146485173,0.0317071002700812,"WNT6/SOX8/RGMA/MTHFD1L/LMO4/ID4/SERPINB5/CXCL10/SMO/SOX10/EGFR/CYP7B1/TFAP2C/SFRP1/SOSTDC1/NOTCH1/ETV5/PTCH1/BMP7/KRT16/LGR4/ITGB1/FOXD1/MYCN/FOXQ1/CLIC4/SNAI1/RDH10/CSMD1/HAND2/NRARP/FRZB/COL4A1/PRKX/LRP5/SNAI2/STAT1/KRT6A/MSN/PRICKLE1/PTK7/FERMT1/SOX9/PHACTR4/LGR5/CA9/RBM15/LAMA1/PODXL/MYC/RPS7/GORAB/OSR1/MMP12/WNT10A/ADAMTS16/TULP3/PLOD3/FOXF2/FAT1/YAP1/MDK/LCN2/ITGAV/FLNA/PHB2/ADAM17/PAFAH1B1/LHX2/PML/CTHRC1/SALL4/COBL/EXT1",74
"GO:0030198","extracellular matrix organization","50/1618","292/14562",0.171232876712329,1.54109589041096,3.30220691203135,0.00121545880027151,0.0471053453061085,0.044275537099705,"FOXC1/MATN4/FSCN1/MELTF/SERPINB5/MIA/PLOD1/CYP1B1/NOTCH1/MMP1/ZNF469/PTX3/KLK7/SPINK5/ITGB1/PXDNL/GPM6B/ADAMTS3/CTSV/COL27A1/COL4A2/COL4A1/IBSP/PLOD2/MYO1E/DNAJB6/PRICKLE1/FERMT1/SOX9/ADTRP/LCP1/LAMA1/ATXN1L/MMP12/ADAMTS16/MMP7/KLK5/COLGALT2/PLOD3/FOXF2/CTSS/SMOC1/SLC39A8/COL11A2/NR2E1/APP/ADAMTS7/MMP13/TGFBI/EXT1",50
"GO:0045662","negative regulation of myoblast differentiation","8/1618","21/14562",0.380952380952381,3.42857142857143,3.93744045351828,0.00122649859590845,0.0471053453061085,0.044275537099705,"SOX8/CXCL10/SOSTDC1/NOTCH1/SOX4/PRICKLE1/SOX9/IL18",8
"GO:0042742","defense response to bacterium","41/1618","228/14562",0.179824561403509,1.61842105263158,3.32750407902643,0.00124947987152787,0.0473316955529125,0.0444882895736497,"BPI/PI3/OPTN/GBP1/CEBPB/RIPK2/S100A8/IL22RA1/KLK7/SPINK5/LYZ/MAP3K7/S100A9/HMGB2/H2BC11/SEH1L/TLR6/GBP4/KRT6A/GBP5/VGF/SPON2/SLAMF8/TREM1/AKIRIN2/HCK/RPS19/SLPI/MMP7/IL18/KLK5/PIM1/CCL20/LCN2/RPL30/ADAM17/NLRC4/FCGR1A/CLEC4E/APP/IL12A",41
"GO:1902742","apoptotic process involved in development","11/1618","36/14562",0.305555555555556,2.75,3.71678026593304,0.00132475170853913,0.0491519178435374,0.0461991637649875,"FOXC1/SIX3/CDKN2A/NOTCH1/BMP7/HAND2/LRP5/CRYAB/CHEK1/KIF1B/PML",11
